ligand	receptor
Cd14	Itga4
Lama1	Tmprss6
Ntf5	Ntrk1
Sema5a	Met
Ntn1	Adora2b
Ppy	Npy5r
Cgn	Ocln
Fga	Itgb2l
Fga	Itgb2
Podxl	Sell
Adam2	Itgb1
Spp1	S1pr1
Hla-A	Erbb2
Fn1	Itga2
Sorbs1	Itga1
Anxa1	Fpr3
Fgb	Itga5
Cxcl13	Oprd1
Shh	Hhip
Cdh1	Cdh2
Apob	Itgam
Apob	Gm49368
Npy	Prlhr
Rgmb	Bmpr2
Hla-A	Lilrb2
Pf4	Sdc2
Ccl13	Ccr9
Icam2	Itgam
Icam2	Gm49368
Wnt3a	Apcdd1
Oxt	Avpr1b
Shbg	Cldn13
Shbg	Cldn4
Vtn	Cd47
Angpt2	Tie1
Rims1	Slc17a7
Gzme	Pgrmc1
Gzmd	Pgrmc1
Gzmg	Pgrmc1
Gzmn	Pgrmc1
Gzmf	Pgrmc1
Gzmc	Pgrmc1
Gzmb	Pgrmc1
Cxcl10	Sdc4
Ptn	Cdh10
Gnai2	Fpr1
Col11a1	Ddr1
Cd14	Itgb1
Cgn	F11r
Mllt4	Pvrl2
Tfpi	Vldlr
Col1a1	Ddr1
Efnb3	Rhbdl2
Rarres2	Ccrl2
F2	Gp9
Il12a	Cd28
Gip	Insr
Fgb	Itgav
Rspo4	Lgr6
Il8	Sdc2
Sema4a	Plxnd1
Defb1	Ccr6
Cntn2	Cntnap2
F13a1	Itga9
Vtn	Kdr
Npy	Npy4r
Nlgn3	Nrxn3
Mug2	Sctr
Gm7298	Sctr
Mug1	Sctr
Edn2	Kel
Sema6d	Kdr
Il6	F3
Rgma	Bmpr2
Saa1	Fpr1
Proc	Procr
Kng2	Sdc2
Kng1	Sdc2
Lrpap1	Sort1
Csf2	Itgb1
Ptn	Sdc3
Lin7c	Htr2c
Serpine1	Itgav
Vasp	Cxcr2
Vasp	Cxcr1
Matn1	Ptprd
Tgm2	Sdc4
Lipc	Lrp1
Fgb	Itga2b
B2m	Cd1b
Gnai2	Adra2b
Adam10	Axl
Ntng2	Lrrc4
Col4a5	Cd93
Ace	Agtr2
Hla-C	Lilrb2
Tnfsf13	Sdc2
Vwf	Gm9733
Vwf	Sirpb1a
Vwf	Sirpb1b
Vwf	Sirpb1c
Vwf	Gm5150
Vwf	Sirpa
Apoe	Ldlr
Pon2	Htr2a
Efna4	Epha6
Lacrt	Sdc1
Ntn4	Unc5a
Lrpap1	Lrp8
Defb14	Ccr6
Cdh1	Egfr
Inhbe	Eng
Lrp1b	Plaur
Gdf7	Bmpr2
Cyr61	Cav1
Ngf	Kidins220
Col9a3	Mag
Gh	Prlr
Gnas	Adcy7
Cfh	Sell
Pla2g10	Pla2r1
Npy	Fap
Fgf23	Fgfr4
Gnai2	Cxcr3
Psap	Sort1
Adam17	Itgb1
C1qa	Cspg4
Gnas	Tshr
Adm2	Ramp1
Col4a4	Cd47
Nlgn1	Nrxn2
Sorbs1	Insr
F2	Gp1bb
Ntn1	Unc5d
Plau	Itgb5
Lama1	Sdc4
Hspg2	Sdc1
Bdnf	Ddr1
Apob	Olr1
Ccl11	Ackr4
Serpina1b	Lrp1
Serpina1d	Lrp1
Serpina1a	Lrp1
Serpina1c	Lrp1
Serpina1e	Lrp1
Dkk2	Kremen2
Ccl26	Ccr2
Efemp2	Lingo1
Tgm2	Itgb3
Psen1	Notch4
F12	Cd93
Nxph3	Nrxn2
Hla-A	Aplp2
Thbs1	Itga4
a	Mc2r
Cgn	Tgfbr1
Lama3	Sdc2
Pthlh	Pth2r
Sema3b	Nrp2
Sema4d	Plxnb1
Thbs1	Tnfrsf11b
Psen1	Notch2
Sema6d	Tyrobp
Nid1	Itga3
Omg	Lingo1
Rspo3	Lgr5
Liph	Lpar2
Cdh1	Itgae
Saa1	Fpr2
Saa1	Fpr3
Fga	Itga5
Vcan	Itgb1
Angpt1	Tie1
Mmp9	Lrp1
Bmp4	Hfe2
Artn	Gfra1
Edn1	Kel
Hmgb1	Thbd
Cdh1	Klrg1
Fgl1	Egfr
Prok2	Prokr1
Sema4d	Erbb2
Fgg	Itgav
Sost	Lrp6
Icam4	Itgal
Reln	Lrp8
Prok1	Prokr1
Hc	C5ar2
Ebi3	Il6st
Il16	Kcnd2
Gnas	Lhcgr
Lama1	Gpc1
Vegfa	Itgav
Vtn	Itga5
Galp	Galr1
Col7a1	Itgb1
Sorbs1	Itgb5
Ccl19	Ackr2
Adam10	Epha3
Sema6a	Plxna4
Wnt3a	Lrp1
Il4	Il13ra2
Aanat	Mtnr1a
Pspn	Gfra1
Fn1	Tshr
Ccl13	Ackr4
Slit1	Sdc1
Camp	P2rx7
Tctn1	Tmem67
Fga	Itgax
Pdyn	Oprk1
Efemp1	Egfr
Vtn	Tnfrsf11b
Col3a1	Ddr2
Apob	Lrp8
Cd55b	Cr1l
Cd55	Cr1l
Fgf6	Sdc4
Trf	Gpr162
Nlgn2	Nrxn1
Penk	Oprk1
Pdgfc	Kdr
Adm	Gpr182
Sbpl	Tlr5
Serpinc1	Lrp1
Ltb	Cd40
Vcan	Tlr1
Farp2	Plxna2
Agrn	Musk
Gdnf	Slc44a5
Slit2	Dcc
Vcam1	Itgb2l
Vcam1	Itgb2
Wnt3a	Fzd6
Mmp9	Ephb2
Sema6d	Trem2
Sbpl	Tlr4
Ihh	Cdon
Camp	Fpr2
Camp	Fpr3
Olfm2	Robo2
C4bp	Lrp1
Lama5	Bcam
Ngf	Maged1
Lpl	Lrp1
Serping1	Sele
Qdpr	Dysf
Rspo4	Lgr5
B2m	Lilrb1
Igfl3	Igflr1
Gnai2	Lhcgr
Mmp9	Itgb2l
Mmp9	Itgb2
Cntn2	Nrp1
Hbegf	Prlr
Shbg	Slc37a1
Yars	Cxcr1
B2m	Tfrc
Matn1	Itga1
Icam1	Egfr
Efna5	Ephb2
Icam1	Itgam
Icam1	Gm49368
Sema4b	Dcbld2
Agt	Lrp2
Crh	Mc2r
Rbp4	Stra6
Colq	Musk
Hrg	Fcgr1
Selplg	Itgam
Selplg	Gm49368
Ppy	Npy1r
Zp3	Mertk
Gdf2	Eng
Fn1	Sdc2
Raet1e	Klrk1
Raet1d	Klrk1
Insl5	Rxfp3
Calcb	Ramp1
Col4a6	Cd93
Thbs2	Notch4
Il8	Cd79a
Mbl2	Calcr
Serpine1	Lrp2
Il22	Il10ra
Il22b	Il10ra
Tfpi	Lrp1
Tnc	Itga2
App	Lrp1
Sema4d	Met
Hgf	Sdc2
F10	F3
Defb4a	Tlr4
Fbn1	Itgb6
Hla-C	Lilra3
App	Cd74
Fgf20	Fgfr4
Ihh	Hhip
Gnai2	Adora1
Il16	Kcnj15
Dhh	Cdon
Hsp90aa1	Egfr
Nrg1	Gpc1
Fbln2	Itgb3
Gnai2	Cav1
Sema3g	Nrp2
Lta	Cachd1
Shank1	Abca1
Il16	Ccr5
Kng2	Bdkrb1
Kng1	Bdkrb1
Icam4	Itga2b
Psap	Gpr37l1
L1cam	Fgfr2
Proc	Thbd
Ccl5	Sdc1
Col1a2	Cd36
Hla-G	Klrd1
Efna3	Ephb1
Hp	Itgam
Hp	Gm49368
Grp	Nmbr
Angpt4	Tek
Inhba	Bambi
Cubn	Lrp2
Reln	Vldlr
Col3a1	Ddr1
Ccl5	Gpr75
Col18a1	Kdr
Ccl2	Ccr4
Calcb	Calcrl
Sema3f	Plxna1
Thbs2	Itga4
Fgf23	Fgfr2
L1cam	Erbb2
Calcb	Calcr
Selplg	Sell
Nlgn1	Nrxn3
Col1a1	Flt4
Gnai2	Tshr
Agt	Mas1
Wnt5a	Mcam
Mfng	Notch1
Timp3	Agtr2
Gdf2	Acvrl1
Omg	Rtn4rl1
Thbs2	Itga6
Krtap4-7	Catsper1
Gm11555	Catsper1
Egf	Cav1
Fgf2	Sdc1
App	Slc45a3
Ptdss1	Scarb1
Hras	Tlr9
Proc	Itgam
Proc	Gm49368
Hbegf	Cd9
B2m	Cd3d
Madcam1	Itga4
Plau	Itgam
Plau	Gm49368
Hspg2	Col13a1
Ngf	Ngfrap1
H2-D1	Klrd1
H2-Q1	Klrd1
H2-Q2	Klrd1
H2-Q4	Klrd1
H2-Q6	Klrd1
H2-Q7	Klrd1
H2-Q10	Klrd1
H2-T24	Klrd1
H2-T23	Klrd1
H2-T22	Klrd1
Gm11127	Klrd1
Gm7030	Klrd1
H2-T10	Klrd1
Gm8909	Klrd1
H2-T3	Klrd1
H2-M10.2	Klrd1
H2-M10.1	Klrd1
H2-M10.3	Klrd1
H2-M10.4	Klrd1
H2-M11	Klrd1
H2-M9	Klrd1
H2-M1	Klrd1
H2-M10.5	Klrd1
H2-M10.6	Klrd1
H2-M3	Klrd1
H2-M2	Klrd1
H2-M5	Klrd1
H2-K1	Klrd1
Orm1	Ccr5
Orm3	Ccr5
Orm2	Ccr5
C1qb	Lrp1
Hla-C	Kir3dl2
Hla-C	Kir3dl1
Hla-A	Kir3dl2
Hla-A	Kir3dl1
Rgmb	Bmpr1b
Calr	Tshr
Npb	Npbwr2
F7	F3
Fbn1	Itga5
Ltbp3	Itgb5
Hla-B	Lilrb1
Ncan	Sdc3
Rspo2	Lgr5
Ccl11	Ackr2
Sbpl	Tlr6
Pthlh	Prlhr
Ccl3	Ackr2
Galp	Galr2
Ccl24	Ccr2
Fgf1	Egfr
Gdf7	Bmpr1a
Pip	Nptn
Klk1b8	Epor
Klk1b1	Epor
Klk1b9	Epor
Klk1b11	Epor
Klk1b26	Epor
Klk1b27	Epor
Klk1b21	Epor
Klk1b22	Epor
Klk1b16	Epor
Klk1b24	Epor
Klk1b3	Epor
Klk1b4	Epor
Klk1b5	Epor
Klk1	Epor
Rspo2	Lgr4
Cd40lg	Traf3
Fbln1	Itgb1
Adam2	Itga6
Mdk	Itga4
Ccl12	Ackr2
Fn1	Itga9
Oxt	Avpr1a
Gdf9	Fxyd6
Col5a1	Sdc3
L1cam	Itga5
Adam2	Cd9
Gnai2	Mtnr1a
C3	C3ar1
Wnt3a	Ryk
Myoc	Fzd1
Tgm2	Itgb1
Mllt4	F11r
Dscam	Dcc
Ccl4	Ackr2
Hla-A	Kir3dl2
Hla-A	Kir3dl1
Mdk	Gm43720
Mdk	Gpc2
Cxcl12	Sdc4
Wnt7b	Lrp5
Tdgf1	Acvr2b
Sema3f	Nrp2
C1qtnf1	Avpr2
Plg	Plgrkt
Serping1	Lrp1
Edil3	Itgb5
Fbn1	Itgb1
Gh	Prlr
Prok1	Prokr2
Spink1	Nrsn1
Vegfa	Gm9733
Vegfa	Sirpb1a
Vegfa	Sirpb1b
Vegfa	Sirpb1c
Vegfa	Gm5150
Vegfa	Sirpa
Csf2	Sdc2
Rspo2	Lgr6
C3	Cr1l
Calr	Hla-F
Fgf1	Cd44
Tcn2	Lrp2
Pyy	Fap
Fn1	Il17rc
Gnas	Ptgdr
Hla-A	Kir3dl2
Hla-A	Kir3dl1
Sftpd	Tlr4
Bmp8b	Acvr2b
Csf3	Csf1r
Bgn	Tlr4
Fga	Itgb1
Cxcl12	Cxcr3
Dll4	Notch2
Pdgfc	Pdgfrb
Icam1	Itgb2l
Icam1	Itgb2
Icam4	Itgav
Kng2	Gp1ba
Kng1	Gp1ba
Rspo3	Lgr4
Farp2	Plxna3
Fga	Itgad
Ccl7	Ackr2
Col2a1	Tnfrsf10a
Fn1	Plaur
Plau	Igf2r
Mmp13	Lrp1
Gm28040	Mmp24
Kiss1	Mmp24
Defb4b	Ccr6
Krtap4-7	Lingo1
Gm11555	Lingo1
Lcn1	Lmbr1l
Tgfa	Erbb3
Icam2	Itgal
Mbl2	Cd93
Lrpap1	Lrp2
Farp2	Plxna4
Shh	Boc
Cyr61	Itgam
Cyr61	Gm49368
Nrg4	Egfr
Plau	St14
Mmp12	Plaur
Npw	Npbwr1
Ucn2	Crhr1
Sct	Vipr2
Efemp2	Catsper1
Sema4d	Cd72
Vegfa	Tyro3
Hla-A	Lilrb1
Timp2	Itga3
Pomc	Oprk1
Il2	Cd53
Gnas	Adora1
Agt	Agtr2
Gpc3	Cd81
Col18a1	Itgb1
Gnb3	Gabbr2
Fgf15	Klb
Vegfb	Ret
Adam17	Itga5
Icam4	Itgb2l
Icam4	Itgb2
Adam28	Itga4
Mdk	Sdc4
Angpt4	Tie1
Apob	Calcr
Agrp	Mc5r
Tac1	Tacr3
Nid1	Ptprf
Il16	Kcnd1
Vegfa	Ret
Col9a1	Mag
Ctgf	Itgb2l
Ctgf	Itgb2
Nxph1	Nrxn1
Sftpd	Ly96
Tnc	Ptprb
Omg	Ngfr
Hla-A	Kir3dl2
Hla-A	Kir3dl1
Gnai2	Adcy7
Fgf3	Fgfr3
Ccl19	Cxcr3
Tnf	Tnfrsf21
Myoc	Fzd7
Sema4c	Plxnb2
Nodal	Acvr2a
Calr	Itgav
Ntn3	Cdon
Plau	Itga5
Col14a1	Cd44
Apod	Lepr
Vegfc	Flt1
Gnai2	Unc5b
Gnai2	Cxcr2
Gnai2	Cxcr1
Bmp10	Acvrl1
Lpl	Sdc1
Lrpap1	Lrp1
Ctgf	Lrp6
Plg	Itgam
Plg	Gm49368
Tgfb2	Acvr1
Gzme	Igf2r
Gzmd	Igf2r
Gzmg	Igf2r
Gzmn	Igf2r
Gzmf	Igf2r
Gzmc	Igf2r
Gzmb	Igf2r
Cd55b	Cd97
Cd55	Cd97
Lama1	Sdc2
Hsp90aa1	Fgfr3
Plau	Lrp2
Ccl20	Cxcr3
Hla-C	Notch4
Slit2	Sdc1
Ntf5	Ngfrap1
Nxph3	Nrxn1
Pigf	Flt1
Hla-C	Lilrb1
Fn1	Nt5e
Mmp7	Cd151
Tgm2	Itga9
Serpine2	Lrp1
Sema4g	Plxnb2
Cd34	Sell
Fgf13	Scn8a
Nodal	Acvr1b
Col6a1	Itga6
Dhh	Hhip
Fga	Plaur
Ccl11	Ccr2
Gnai2	Ccr5
Mdk	Tspan1
Sema7a	Itgb1
Cxcl12	Itgb1
Pkm	Cd44
Gnai2	Chrm1
Rgmb	Hfe2
Mmp7	Cd44
Psen1	Cd44
Galp	Galr3
Cdh1	Erbb3
Ghrh	Vipr1
Fgf13	Egfr
Fn1	Col13a1
Il16	Kcnj4
Apob	Itgb2l
Apob	Itgb2
Fcn2	Lrp1
Hras	Grin2d
Pdgfb	Itgav
Muc2	Agr2
Hras	Tlr2
Calr	Scarf1
Cyr61	Itga5
Sftpa1	Cd93
Omg	Tnfrsf1b
Lpl	Lrp2
Tgfb1	Cav1
Plau	Vldlr
Nms	Nmur2
Sema3f	Plxna3
Gdf5	Ror2
Mllt4	Epha7
Efna3	Epha6
Agrp	Sdc3
Ccl3	C14orf1
Sfrp1	Fzd2
Gnai2	Adcy9
Cntn2	Cntn1
Fga	Itgav
Ren1	Asic3
Tnc	Itga7
Lypd3	Agr2
Nxph1	Nrxn2
Psen1	Ncstn
Rln3	Rxfp2
Angpt1	Itgb1
Wnt5a	Ryk
Thbs2	Notch3
B2m	Kir3dl2
B2m	Kir3dl1
Lpa	Itgb2l
Lpa	Itgb2
S100a8	Tlr4
Lin7c	Abca1
Krtap4-7	Pdgfrb
Gm11555	Pdgfrb
Lpl	Cd44
Ccl21d	Ackr2
Gm13304	Ackr2
Ccl21b	Ackr2
Gm10591	Ackr2
Ccl21a	Ackr2
Krtap4-7	Aqp1
Gm11555	Aqp1
Efnb2	Rhbdl2
Il34	Csf1r
Ulbp2	Klrk1
Dcn	Met
Ptn	Sdc1
Selplg	Selp
Ccl7	Ackr4
Il18	Cd48
Gm13306	Ackr2
Ccl27b	Ackr2
Ccl27a	Ackr2
Ptma	Vipr1
C4b	Cr1l
Kng2	Plaur
Kng1	Plaur
Sfrp1	Fzd6
Bdnf	Ngfrap1
Icam4	Itgam
Icam4	Gm49368
Serpina7	Slc16a2
Gnai2	Adcy8
Adam12	Itgb1
C4b	C5ar2
C1qa	Cr1l
Rtn4	Lingo1
Fgf1	Fgfrl1
Plat	Itgb2l
Plat	Itgb2
Mllt4	Ephb3
Fgf13	Scn5a
Slit1	Robo1
B2m	Cd1a
Hla-B	Kir3dl2
Hla-B	Kir3dl1
Cfh	Itgam
Cfh	Gm49368
Il4	Cd53
Serping1	Selp
Il1rn	Il1rl2
Tac4	Tacr3
Sema4d	Plxnb2
Adam17	Erbb4
Lpa	Itgam
Lpa	Gm49368
Pdgfb	Art1
Adam9	Itga6
Gnai2	Oprm1
Myoc	Fzd4
Npvf	Npffr1
Fn1	Tmprss6
Col4a4	Cd93
Gnai2	Tbxa2r
Hla-B	Cd3g
Cd34	Selp
Cxcl13	Htr2a
Nodal	Acvr2b
Bgn	Ly96
Gdf9	Tgfbr1
Ccl25	Ackr2
Plg	Itgb2l
Plg	Itgb2
Ccl14	Ackr2
Hla-C	Slc9c2
H2-D1	Clec2m
H2-D1	Klre1
H2-D1	Klrc3
H2-D1	Klrc2
H2-D1	Klrc1
H2-D1	Klri1
H2-D1	Klri2
H2-D1	Klrh1
H2-Q1	Clec2m
H2-Q1	Klre1
H2-Q1	Klrc3
H2-Q1	Klrc2
H2-Q1	Klrc1
H2-Q1	Klri1
H2-Q1	Klri2
H2-Q1	Klrh1
H2-Q2	Clec2m
H2-Q2	Klre1
H2-Q2	Klrc3
H2-Q2	Klrc2
H2-Q2	Klrc1
H2-Q2	Klri1
H2-Q2	Klri2
H2-Q2	Klrh1
H2-Q4	Clec2m
H2-Q4	Klre1
H2-Q4	Klrc3
H2-Q4	Klrc2
H2-Q4	Klrc1
H2-Q4	Klri1
H2-Q4	Klri2
H2-Q4	Klrh1
H2-Q6	Clec2m
H2-Q6	Klre1
H2-Q6	Klrc3
H2-Q6	Klrc2
H2-Q6	Klrc1
H2-Q6	Klri1
H2-Q6	Klri2
H2-Q6	Klrh1
H2-Q7	Clec2m
H2-Q7	Klre1
H2-Q7	Klrc3
H2-Q7	Klrc2
H2-Q7	Klrc1
H2-Q7	Klri1
H2-Q7	Klri2
H2-Q7	Klrh1
H2-Q10	Clec2m
H2-Q10	Klre1
H2-Q10	Klrc3
H2-Q10	Klrc2
H2-Q10	Klrc1
H2-Q10	Klri1
H2-Q10	Klri2
H2-Q10	Klrh1
H2-T24	Clec2m
H2-T24	Klre1
H2-T24	Klrc3
H2-T24	Klrc2
H2-T24	Klrc1
H2-T24	Klri1
H2-T24	Klri2
H2-T24	Klrh1
H2-T23	Clec2m
H2-T23	Klre1
H2-T23	Klrc3
H2-T23	Klrc2
H2-T23	Klrc1
H2-T23	Klri1
H2-T23	Klri2
H2-T23	Klrh1
H2-T22	Clec2m
H2-T22	Klre1
H2-T22	Klrc3
H2-T22	Klrc2
H2-T22	Klrc1
H2-T22	Klri1
H2-T22	Klri2
H2-T22	Klrh1
Gm11127	Clec2m
Gm11127	Klre1
Gm11127	Klrc3
Gm11127	Klrc2
Gm11127	Klrc1
Gm11127	Klri1
Gm11127	Klri2
Gm11127	Klrh1
Gm7030	Clec2m
Gm7030	Klre1
Gm7030	Klrc3
Gm7030	Klrc2
Gm7030	Klrc1
Gm7030	Klri1
Gm7030	Klri2
Gm7030	Klrh1
H2-T10	Clec2m
H2-T10	Klre1
H2-T10	Klrc3
H2-T10	Klrc2
H2-T10	Klrc1
H2-T10	Klri1
H2-T10	Klri2
H2-T10	Klrh1
Gm8909	Clec2m
Gm8909	Klre1
Gm8909	Klrc3
Gm8909	Klrc2
Gm8909	Klrc1
Gm8909	Klri1
Gm8909	Klri2
Gm8909	Klrh1
H2-T3	Clec2m
H2-T3	Klre1
H2-T3	Klrc3
H2-T3	Klrc2
H2-T3	Klrc1
H2-T3	Klri1
H2-T3	Klri2
H2-T3	Klrh1
H2-M10.2	Clec2m
H2-M10.2	Klre1
H2-M10.2	Klrc3
H2-M10.2	Klrc2
H2-M10.2	Klrc1
H2-M10.2	Klri1
H2-M10.2	Klri2
H2-M10.2	Klrh1
H2-M10.1	Clec2m
H2-M10.1	Klre1
H2-M10.1	Klrc3
H2-M10.1	Klrc2
H2-M10.1	Klrc1
H2-M10.1	Klri1
H2-M10.1	Klri2
H2-M10.1	Klrh1
H2-M10.3	Clec2m
H2-M10.3	Klre1
H2-M10.3	Klrc3
H2-M10.3	Klrc2
H2-M10.3	Klrc1
H2-M10.3	Klri1
H2-M10.3	Klri2
H2-M10.3	Klrh1
H2-M10.4	Clec2m
H2-M10.4	Klre1
H2-M10.4	Klrc3
H2-M10.4	Klrc2
H2-M10.4	Klrc1
H2-M10.4	Klri1
H2-M10.4	Klri2
H2-M10.4	Klrh1
H2-M11	Clec2m
H2-M11	Klre1
H2-M11	Klrc3
H2-M11	Klrc2
H2-M11	Klrc1
H2-M11	Klri1
H2-M11	Klri2
H2-M11	Klrh1
H2-M9	Clec2m
H2-M9	Klre1
H2-M9	Klrc3
H2-M9	Klrc2
H2-M9	Klrc1
H2-M9	Klri1
H2-M9	Klri2
H2-M9	Klrh1
H2-M1	Clec2m
H2-M1	Klre1
H2-M1	Klrc3
H2-M1	Klrc2
H2-M1	Klrc1
H2-M1	Klri1
H2-M1	Klri2
H2-M1	Klrh1
H2-M10.5	Clec2m
H2-M10.5	Klre1
H2-M10.5	Klrc3
H2-M10.5	Klrc2
H2-M10.5	Klrc1
H2-M10.5	Klri1
H2-M10.5	Klri2
H2-M10.5	Klrh1
H2-M10.6	Clec2m
H2-M10.6	Klre1
H2-M10.6	Klrc3
H2-M10.6	Klrc2
H2-M10.6	Klrc1
H2-M10.6	Klri1
H2-M10.6	Klri2
H2-M10.6	Klrh1
H2-M3	Clec2m
H2-M3	Klre1
H2-M3	Klrc3
H2-M3	Klrc2
H2-M3	Klrc1
H2-M3	Klri1
H2-M3	Klri2
H2-M3	Klrh1
H2-M2	Clec2m
H2-M2	Klre1
H2-M2	Klrc3
H2-M2	Klrc2
H2-M2	Klrc1
H2-M2	Klri1
H2-M2	Klri2
H2-M2	Klrh1
H2-M5	Clec2m
H2-M5	Klre1
H2-M5	Klrc3
H2-M5	Klrc2
H2-M5	Klrc1
H2-M5	Klri1
H2-M5	Klri2
H2-M5	Klrh1
H2-K1	Clec2m
H2-K1	Klre1
H2-K1	Klrc3
H2-K1	Klrc2
H2-K1	Klrc1
H2-K1	Klri1
H2-K1	Klri2
H2-K1	Klrh1
Icam4	Itga4
Col4a1	Cd93
Hla-B	Lilrb2
Col1a2	Cd93
Sema6d	Plxna1
Apoe	Lrp2
Cd40lg	Itgb2l
Cd40lg	Itgb2
Anxa1	Fpr1
Pyy	Npy4r
Lta	Ednra
Col2a1	Itga2b
L1cam	Egfr
Shbg	Cd177
Fgf2	Gpc4
App	Ngfr
Psap	Cd1b
Dcn	Erbb4
Rgma	Bmpr1b
Efnb1	Epha6
Col1a2	Itgb3
Gnai2	F2r
Sbpl	Cxcr4
P4hb	Gpr162
Rln3	Rxfp3
Tnf	Slc5a11
Tgfb1	Cd109
2300002M23Rik	Ddr1
Vegfb	Tyro3
Mllt4	Ephb6
Fn1	Cd79a
Lrpap1	Vldlr
Vegfc	Lyve1
Rspo1	Lgr4
Lamb3	Cd151
Rps19	C5ar1
Hras	Cav1
Cp	Slc40a1
C3	C5ar2
Rtn4	Ngfr
Gdf7	Acvr2a
Prn	Rpsa
Prnd	Rpsa
Mfng	Notch2
Fat4	Dchs1
Hla-A	Cd3d
Rspo1	Lgr5
Apoc3	Sdc2
Fn1	Robo4
Fgf2	Cd44
Bmp8b	Acvr1
Fn1	C5ar1
C3	Cd46
Mfi2	Tfrc
Qrfp	P2ry14
Hla-G	Clec2m
Hla-G	Klre1
Hla-G	Klrc3
Hla-G	Klrc2
Hla-G	Klrc1
Hla-G	Klri1
Hla-G	Klri2
Hla-G	Klrh1
A2m	Lrp1
Ccl13	Ackr2
Thbs1	Lrp5
Efnb2	Epha3
Sema3c	Plxnd1
Nxph1	Nrxn3
Fgg	Itgb1
Il31	Il31ra
Krtap4-7	Cntfr
Gm11555	Cntfr
Efna5	Ephb6
Lamb3	Col17a1
Rph3a	Nrxn1
Spon2	Itgb2l
Spon2	Itgb2
Penk	Ogfr
Bmp5	Acvr2a
Tnc	Cntn1
Sema3e	Plxnd1
Gnai2	Mtnr1b
Adam15	Itga9
Matn1	Itgb1
Ncam1	Robo3
Fgf21	Fgfr2
Bcan	Nrcam
Tnfsf4	Traf2
Col2a1	Mag
Rtn4	Cntnap1
Pros1	Axl
Npvf	Npffr2
Npy	Mc4r
Apoe	Vldlr
Plat	Lrp1
Dlk2	Notch1
C4b	C3ar1
Pth2	Pth2r
Col2a1	Ddr1
Lrpap1	Ldlr
Efna2	Epha6
Plau	Itgb2l
Plau	Itgb2
C3	Ifitm6
Sftpa1	Tlr2
Adm2	Calcr
Mmp9	Cd44
Efnb1	Erbb2
Bmp10	Eng
Rarres2	Gpr1
Col4a3	Cd47
Il2	Gypa
L1cam	Ephb2
Wnt3a	Fzd5
B2m	Lilrb2
Guca2b	Gucy2e
Efna5	Epha6
Nid1	Itgb1
Prok2	Prokr2
Hla-A	Cd3g
Gdf11	Acvr2a
Ppy	Npy2r
Gzme	Chrm3
Gzmd	Chrm3
Gzmg	Chrm3
Gzmn	Chrm3
Gzmf	Chrm3
Gzmc	Chrm3
Gzmb	Chrm3
Wnt3a	Fzd2
Apoe	Lrp8
Nlgn2	Nrxn2
Camp	Egfr
App	Fpr2
App	Fpr3
Ncam1	Cacna1c
Plat	Itgam
Plat	Gm49368
Selplg	Itgb2l
Selplg	Itgb2
Mmp1a	Cd44
Mmp1b	Cd44
Fgf23	Phex
Vip	Npr3
Pf4	Procr
Rims1	Cacna1c
Cyr61	Itgb3
Cd24a	Selp
Gnai2	Agtr2
Vcam1	Itgad
Gnai2	S1pr4
Kng2	Gpr135
Kng1	Gpr135
B2m	Kir3dl2
B2m	Kir3dl1
Bmp4	Acvr2a
Efnb2	Grm1
Fn1	Itga6
BC055324	Plscr4
Has2	Cd44
Tac2	Tacr1
Fgg	Itgb2l
Fgg	Itgb2
Vcam1	Itgb7
Btla	Vtcn1
Ccl28	Ackr2
Ccl3	Ackr2
Gnai2	Adra2a
Gip	Dpp4
a	Atrn
Omg	Rtn4r
Tgfb1	Sdc2
Madcam1	Cd44
Gnas	Ptgir
Proc	Itgb2l
Proc	Itgb2
Bmp3	Acvr2a
Vcan	Egfr
Mllt4	Ephb2
Bmp5	Hfe2
Icam1	Il2ra
Hla-G	Lilrb2
Prss23	Tmem222
Hp	Asgr1
C3	Cd81
a	Mc1r
Alb	Lrp2
Cyr61	Itgb2l
Cyr61	Itgb2
Rln1	Rxfp2
Efnb2	Pecam1
Serpinc1	Gpc1
Col2a1	Or1e1
Clec3a	Clec2b
Sema3c	Nrp2
Col1a1	Cd93
Mllt4	Nrxn3
Papln	Gm9733
Papln	Sirpb1a
Papln	Sirpb1b
Papln	Sirpb1c
Papln	Gm5150
Papln	Sirpa
Col1a1	Ddr2
Efna5	Ephb1
Col3a1	Mag
Thpo	Gm9733
Thpo	Sirpb1a
Thpo	Sirpb1b
Thpo	Sirpb1c
Thpo	Gm5150
Thpo	Sirpa
Ltf	Tfrc
a	Mc3r
Efna1	Epha6
Agt	Agtr1a
Agt	Agtr1b
Icam1	Cav1
Pdgfd	Pdgfra
Gnai2	Oprd1
Cd5l	Cd5
Sema3a	Nrp2
Lin7c	Kcnj4
Gm21983	Cdh7
Mia	Cdh7
Aanat	Mtnr1b
Hla-G	Kir3dl2
Hla-G	Kir3dl1
Adam15	Itgb3
Cdh1	Lrp5
Lamc2	Col17a1
Tgm2	Itga4
Ncam1	Fgfr1
Wnt3	Ryk
Col5a2	Ddr1
Itgb3bp	Itgb5
Cthrc1	Fzd6
Sema6a	Plxna2
Hhla3	Chrm3
Tnc	Itga5
Col18a1	Gpc1
Edn2	Ednrb
Rspo1	Fzd8
Ecm1	Cachd1
Mmp7	Cdh6
